ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,geojson,Year
1,MWS-008-2,Proposal,,Key activities proposed for soil and water conservation in MWS-008-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_008_2/Table_6_1.csv,
2,MWS-008-2,Proposal,,Details of Reported landslides in MWS-008-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_008_2/Table_6_2.csv,
3,MWS-008-2,Proposal,,Details of minor tank available in MWS-008-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_008_2/Table_6_3.csv,
4,MWS-008-2,Proposal,,Salient details of first and second tanks in MWS-008-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_008_2/Table_6_4.csv,
5,MWS-008-2,Proposal,,Cost details of Medihena Wewa-reservation improvement,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_008_2/Table_6_5.csv,
6,MWS-008-2,Proposal,,Cost details of Wanahapuwa Wewa-reservation improvement,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_008_2/Table_6_6.csv,
7,MWS-008-2,Proposal,,Cost details of Bopitiya Wewa-reservation improvement,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_008_2/Table_6_7.csv,
8,MWS-008-2,Proposal,,Detail summary of minor tank restoration and repair costs in MWS-008-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_008_2/Table_6_8.csv,
9,MWS-008-2,Proposal,,Implementation schedule of three tanks in MWS 008-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_008_2/Table_6_9.csv,
10,MWS-008-2,Proposal,,Unit rates of different vegetative cover improving methods,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_008_2/Table_6_10.csv,
