ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,Download,geojson,Year
1,MWS-005,Proposal,Proposal Soil,Soil and water conservation,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_005/MWS_005_Table_6_1.geojson,2024
2,MWS-005,Proposal,Proposal Soil,Details of reported landslides,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_005/MWS_005_Table_6_2.geojson,2024
3,MWS-005,Proposal,Proposal Soil,Water source protection related activities,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_005/MWS_005_Table_6_22.geojson,2024
4,MWS-005,Proposal,Proposal Soil,Stream reservation,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_005/MWS_005_Table_6_27.geojson,2024
5,MWS-005,Report,Report,Watershed managment plan,,IWMI,Derive,No,Text,,,,2024
6,MWS-005,Map,Map,Atlas,,IWMI,Derive,No,Image,,,,2024
7,MWS-005,Photo,Photo,Photo,,IWMI,Derive,Yes,Photo,,,,2024
8,MWS-005,Proposal,Proposal Irrigation,Details of minor tanks available,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_005/MWS_005_Table_6_3.geojson,2024
9,MWS-005,Proposal,Proposal Irrigation,Domestic water supply related activities,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_005/MWS_005_Table_6_21.geojson,2024
10,MWS-005,Proposal,Proposal Irrigation,Minor irrigation related proposals,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_005/MWS_005_Table_6_23.geojson,2024
11,MWS-005,Proposal,Proposal Irrigation,,,IWMI/GCP,Field,Yes,Text,,,,2024
